NUMERO_POLICE,DATE_EFFET_DT,DATE_EXPIRATION_DT,ANNEE,TYPE,WILAYA_CODE,WILAYA,COMMUNE_CODE,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE,ZONE_RPA,ZONE_SCORE,PML_RATE,PML_EXPOSE
11301003240580,,,,Bien Immobilier,11,TAMENRASSET,1315,TAMANRASSET,3696000.0,2439.36,Zone 0,0.0,0.01,36960.0
35303043240480,,,,Bien Immobilier,16,ALGER,147,ROUIBA,1410000.0,1500.0,Zone III,4.0,0.3,423000.0
25303003240156,,,,Bien Immobilier,25,CONSTANTINE,513,CONSTANTINE,1575000.0,1500.0,Zone IIa,2.0,0.12,189000.0
6209003240028,,,,Bien Immobilier,6,BEJAIA,260,BEJAIA,3087290.0,2006.74,Zone IIa,2.0,0.12,370474.8
35303053240122,,,,Bien Immobilier,16,ALGER,146,REGHAIA,3040000.0,2280.0,Zone III,4.0,0.3,912000.0
19309003240720,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,2020200.0,1500.0,Zone IIa,2.0,0.12,242424.0
16301003240493,,,,Bien Immobilier,16,ALGER,135,KHRAISSIA,4700000.0,3525.0,Zone III,4.0,0.3,1410000.0
10302003240276,,,,Bien Immobilier,10,BOUIRA,410,BOUIRA,2697000.0,1753.05,Zone IIa,2.0,0.12,323640.0
42304003240076,,,,Installation Commerciale,42,TIPAZA,167,SIDI AMER,3000000.0,2500.0,Zone III,4.0,0.3,900000.0
16351003240089,,,,Bien Immobilier,16,ALGER,118,CHERAGA ALGER,4700000.0,3525.0,Zone III,4.0,0.3,1410000.0
14301003240385,,,,Installation Industrielle,14,TIARET,1384,TIARET,1160000.0,2500.0,Zone I,1.0,0.05,58000.0
27303003240315,,,,Installation Commerciale,27,MOSTAGANEM,923,SAFSAF,61868695.0,26603.54,Zone IIa,2.0,0.12,7424243.399999999
15305013240022,,,,Bien Immobilier,15,TIZI OUZOU,1472,FREHA,15300000.0,0.0,Zone IIa,2.0,0.12,1836000.0
19308003240210,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,2450000.0,1592.5,Zone IIa,2.0,0.12,294000.0
40301003240107,,,,Bien Immobilier,40,KHENCHELA,726,KHENCHELA,2351350.0,1500.0,Zone I,1.0,0.05,117567.5
19310003240105,,,,Bien Immobilier,19,SETIF,1182,SETIF,21000000.0,-13650.0,Zone IIa,2.0,0.12,2520000.0
