rank_in_wilaya,WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,prime_M
70,ALGER,BOU ISMAIL,Zone III,6,0.061,0.018,0.0
25,BOUMERDES,REGHAIA,Zone III,8,0.061,0.018,0.1
7,CHLEF,EL MARSA CHLEF,Zone III,3,0.061,0.018,0.0
18,BLIDA,SIDI MOUSSA,Zone III,2,0.06,0.018,0.0
71,ALGER,HAMMEDI,Zone III,14,0.056,0.017,0.0
72,ALGER,BOLOGHINE IBN ZIRI,Zone III,22,0.056,0.017,0.0
10,AIN DEFLA,AIN SOLTANE AIN DEFLA,Zone III,8,0.054,0.016,0.0
26,BOUMERDES,DJINET,Zone III,17,0.053,0.016,0.1
8,CHLEF,SOBHA,Zone III,26,0.047,0.014,0.1
73,ALGER,MEFTAH,Zone III,15,0.046,0.014,0.0
74,ALGER,MSILA,Zone III,4,0.045,0.014,0.0
75,ALGER,LARBAA BLIDA,Zone III,8,0.045,0.014,0.0
76,ALGER,HAMMAMET,Zone III,18,0.044,0.013,0.0
11,AIN DEFLA,MEKHATRIA,Zone IIb,11,0.044,0.009,0.0
77,ALGER,EL MARSA ALGER,Zone III,7,0.042,0.013,0.0
12,AIN DEFLA,DJENDEL,Zone III,5,0.042,0.013,0.0
1,MOSTAGANEM,OULED MAALAH,Zone IIb,2,0.039,0.008,0.0
78,ALGER,DOUAOUDA,Zone III,10,0.038,0.011,0.0
19,BLIDA,CHIFFA,Zone III,16,0.037,0.011,0.0
9,CHLEF,EL KARIMIA,Zone IIb,18,0.036,0.007,0.0
25,TIPAZA,HATTATBA,Zone III,10,0.035,0.011,0.0
13,AIN DEFLA,MILIANA,Zone IIb,8,0.035,0.007,0.0
14,AIN DEFLA,INCONNU,Zone III,7,0.033,0.01,0.0
79,ALGER,CHERCHAR,Zone III,8,0.032,0.01,0.0
26,TIPAZA,ECH CHAIBA,Zone III,3,0.031,0.009,0.0
1,INCONNU,INCONNU,Zone III,10,0.03,0.009,0.0
15,AIN DEFLA,ZEDDINE,Zone IIb,12,0.03,0.006,0.0
80,ALGER,GHARDAIA,Zone III,3,0.029,0.009,0.0
10,CHLEF,CHETTIA,Zone III,9,0.028,0.008,0.0
81,ALGER,TIZI OUZOU,Zone III,9,0.027,0.008,0.0
27,BOUMERDES,SOUK EL KHEMIS,Zone III,4,0.025,0.008,0.0
82,ALGER,EL MEHARA,Zone III,2,0.025,0.007,0.0
11,CHLEF,AIN MERANE,Zone III,9,0.024,0.007,0.0
16,AIN DEFLA,BORDJ EMIR KHALED,Zone III,2,0.022,0.007,0.0
12,CHLEF,BENI RACHED,Zone III,8,0.022,0.006,0.0
83,ALGER,GUERROUAOU,Zone III,2,0.022,0.006,0.0
28,BOUMERDES,BENI AMRANE,Zone IIb,10,0.021,0.004,0.0
84,ALGER,OULED SLAMA,Zone III,2,0.021,0.006,0.0
13,CHLEF,OUED GHOUSSINE,Zone III,6,0.021,0.006,0.0
85,ALGER,BOUIRA,Zone III,4,0.02,0.006,0.0
86,ALGER,DIDOUCHE MOURAD,Zone III,9,0.02,0.006,0.0
87,ALGER,INCONNU,Zone III,7,0.02,0.006,0.0
27,TIPAZA,HADJERET ENNOUS,Zone III,4,0.019,0.006,0.0
88,ALGER,ADRAR,Zone III,4,0.019,0.006,0.0
29,BOUMERDES,SOUK EL HAD BOUMERDES,Zone III,9,0.019,0.006,0.0
89,ALGER,LARBATACHE,Zone III,4,0.018,0.005,0.0
90,ALGER,TERRAI BAINEM,Zone III,9,0.018,0.005,0.0
17,AIN DEFLA,TACHTA ZEGARRA,Zone III,5,0.018,0.005,0.0
14,CHLEF,SOUMAA BLIDA,Zone III,1,0.018,0.005,0.0
20,BLIDA,HADJOUT,Zone III,9,0.018,0.005,0.0
21,BLIDA,EL AFFROUN,Zone III,8,0.018,0.005,0.0
91,ALGER,BENI AMRANE,Zone III,2,0.018,0.005,0.0
92,ALGER,BOUDOUAOU EL BAHRI,Zone III,4,0.017,0.005,0.0
30,BOUMERDES,KHEMIS MILIANA,Zone III,4,0.016,0.005,0.0
93,ALGER,BOGHNI,Zone III,3,0.015,0.004,0.0
28,TIPAZA,ZERALDA,Zone III,5,0.015,0.005,0.0
94,ALGER,DARGUINA,Zone III,3,0.015,0.005,0.0
18,AIN DEFLA,TIBERGUENT,Zone III,2,0.014,0.004,0.0
31,BOUMERDES,HAMADIA,Zone IIb,7,0.014,0.003,0.0
29,TIPAZA,SIDI MOUSSA,Zone III,7,0.014,0.004,0.0
95,ALGER,OULED HADJADJ,Zone III,2,0.013,0.004,0.0
96,ALGER,SETIF,Zone III,4,0.012,0.004,0.0
30,TIPAZA,MAHELMA,Zone III,3,0.012,0.004,0.0
97,ALGER,DRAA ESSMAR,Zone III,3,0.012,0.004,0.0
98,ALGER,MOSTAGANEM,Zone III,2,0.012,0.004,0.0
99,ALGER,ORAN,Zone III,3,0.012,0.004,0.0
32,BOUMERDES,HAMADI KROUMA,Zone III,1,0.012,0.003,0.0
15,CHLEF,TAOUGRITE,Zone III,5,0.012,0.004,0.0
22,BLIDA,OUED DJER,Zone III,4,0.011,0.003,0.0
100,ALGER,KHEMIS MILIANA,Zone III,2,0.011,0.003,0.0
19,AIN DEFLA,SIDI LAKHDAR AIN DEFLA,Zone III,3,0.011,0.003,0.0
20,AIN DEFLA,HAMMAM RIGHA,Zone IIb,3,0.01,0.002,0.0
31,TIPAZA,BOUFARIK,Zone III,4,0.01,0.003,0.0
101,ALGER,BABAR,Zone III,2,0.01,0.003,0.0
102,ALGER,CHERCHEL,Zone III,1,0.01,0.003,0.0
103,ALGER,CHERAGA MILA,Zone III,1,0.01,0.003,0.0
23,BLIDA,OULED SELLAM,Zone IIb,1,0.01,0.002,0.0
32,TIPAZA,SIDI MHAMED ALGER,Zone III,4,0.01,0.003,0.0
21,AIN DEFLA,EL MAYENE,Zone III,3,0.009,0.003,0.0
2,MOSTAGANEM,ACHAACHA,Zone III,3,0.009,0.003,0.0
22,AIN DEFLA,BOUMEDFAA,Zone IIb,5,0.009,0.002,0.0
33,TIPAZA,SOUIDANIA,Zone III,2,0.009,0.003,0.0
16,CHLEF,OULED ABBES,Zone III,3,0.009,0.003,0.0
104,ALGER,EL BORDJ,Zone III,1,0.009,0.003,0.0
34,TIPAZA,EL HARRACH,Zone III,3,0.008,0.002,0.0
35,TIPAZA,CHERAGA ALGER,Zone III,2,0.008,0.002,0.0
24,BLIDA,HUSSEIN DEY,Zone III,2,0.008,0.002,0.0
105,ALGER,TAMANRASSET,Zone III,1,0.008,0.002,0.0
36,TIPAZA,EL BIAR,Zone III,3,0.008,0.002,0.0
23,AIN DEFLA,EL MAIN,Zone III,3,0.008,0.002,0.0
106,ALGER,BORDJ MENAIEL,Zone III,1,0.007,0.002,0.0
24,AIN DEFLA,TAMZOUGHA,Zone III,2,0.007,0.002,0.0
33,BOUMERDES,LAGHATA,Zone III,3,0.007,0.002,0.0
25,BLIDA,OULED YAICH RELIZANE,Zone III,2,0.007,0.002,0.0
107,ALGER,BOUZGUEN,Zone III,1,0.007,0.002,0.0
108,ALGER,EL ACHIR,Zone III,1,0.007,0.002,0.0
109,ALGER,SEHAILIA,Zone III,2,0.007,0.002,0.0
110,ALGER,SIDI FREDJ,Zone III,1,0.007,0.002,0.0
111,ALGER,OULED YAICH BLIDA,Zone III,2,0.007,0.002,0.0
112,ALGER,FOUKA,Zone III,2,0.006,0.002,0.0
113,ALGER,DELLYS,Zone III,1,0.006,0.002,0.0
114,ALGER,CONSTANTINE,Zone III,2,0.006,0.002,0.0
115,ALGER,SOUMAA BLIDA,Zone III,1,0.006,0.002,0.0
34,BOUMERDES,SIDI MOUSSA,Zone III,2,0.006,0.002,0.0
35,BOUMERDES,OULED AISSA BOUMERDES,Zone III,3,0.006,0.002,0.0
36,BOUMERDES,BOUZEGZA KEDDARA,Zone IIb,1,0.006,0.001,0.0
37,BOUMERDES,DJANET,Zone III,3,0.006,0.002,0.0
26,BLIDA,TIPAZA,Zone III,2,0.005,0.001,0.0
37,TIPAZA,OULED FAYET,Zone III,1,0.005,0.001,0.0
38,BOUMERDES,ROUIBA,Zone III,2,0.005,0.001,0.0
116,ALGER,MEDEA,Zone III,1,0.005,0.002,0.0
25,AIN DEFLA,AIN TORKI,Zone IIb,1,0.005,0.001,0.0
117,ALGER,BATNA,Zone III,2,0.005,0.002,0.0
118,ALGER,ECH CHAIBA,Zone III,1,0.005,0.002,0.0
17,CHLEF,LABIODH MEDJADJA,Zone III,2,0.005,0.002,0.0
119,ALGER,HAMMA ANASSERS,Zone III,1,0.005,0.001,0.0
39,BOUMERDES,OULED AISSA,Zone IIb,3,0.004,0.001,0.0
120,ALGER,BENDJERRAH,Zone III,1,0.004,0.001,0.0
3,MOSTAGANEM,OULED BOUGHALEM,Zone III,1,0.004,0.001,0.0
121,ALGER,OUED EL ALLEUG,Zone III,1,0.004,0.001,0.0
122,ALGER,DJELFA,Zone III,2,0.004,0.001,0.0
123,ALGER,BORDJ EL HAOUES,Zone III,1,0.004,0.001,0.0
